DATA,HORÁRIO,NOME CONDOMÍNIO,UN,HAB/Un,RSU TOTAL (kg),RSU RECICLAVEL (kg),ORGÂNICO,CEP,RECICLABILIDADE,RESÍDUO PREDOMINANTE,QUANTIDADE (toneladas),TAXA DE APROVEITAMENTO (%),CUSTO DA COLETA (R$),TEMPO DE COLETA (minutos)
01-01-2020,08:30,FLEX I,537,3,1611.0,654.066,605.45,04538-132,ALTA,Papelão,0.8,80.0,421.37,30.0
01-01-2020,09:15,FLEX III,537,3,1611.0,654.066,1053.86,04538-133,BAIXA,Vidro,0.6,70.0,412.98,25.0
01-01-2020,10:00,ALTOS DO BUTANTÃ,432,3,1296.0,526.176,480.34,05359-001,ALTA,Plástico,1.2,90.0,475.24,35.0
01-01-2020,08:00,EASY LIFE,257,3,771.0,313.026,515.86,06764-170,BAIXA,Orgânico,0.5,50.0,274.42,20.0
01-01-2020,11:30,CONDOMINIO BANDEIRANTES,609,3,1827.0,741.762,741.68,06705-300,ALTA,Papel,0.9,85.0,423.68,40.0
01-01-2020,14:45,SKY HOUSE,230,3,690.0,280.14,429.98,03141-060,BAIXA,Vidro,0.7,75.0,35.42,30.0
01-01-2020,10:30,PLAZA MAYOR,358,3,1074.0,436.044,660.25,05303-020,BAIXA,Plástico,1.1,80.0,381.22,35.0
01-01-2020,13:15,MAXI PIRITUBA,223,3,669.0,271.614,358.86,02936-001,BAIXA,Papelão,0.6,75.0,270.58,25.0
01-01-2020,09:45,EDIFICIO JOSÉ MARTINS (HUB PAULISTA),16,3,48.0,19.488,19.96,04543-011,ALTA,Vidro,0.4,70.0,186.66,20.0
01-01-2020,14:00,LED BARRA FUNDA,551,3,1653.0,671.118,766.57,01136-000,ALTA,Papel,0.7,80.0,309.3,30.0
01-01-2020,13:30,CIDADE VIVA OFFICES,459,3,1377.0,559.062,694.0,03317-000,BAIXA,Plástico,1.0,85.0,534.3,40.0
01-01-2020,15:30,BRISA DA MATA,159,3,477.0,193.662,176.42,08122-600,BAIXA,Orgânico,0.4,60.0,216.13,20.0
01-01-2020,11:00,FIT BOSQUE ITAQUERA,257,3,771.0,313.026,488.28,08260-000,BAIXA,Vidro,0.8,70.0,358.55,25.0
01-01-2020,12:45,TORRE DE TAVORA,40,3,120.0,48.72,68.37,04075-010,BAIXA,Papelão,0.3,75.0,196.56,20.0
01-01-2020,08:30,VIDA BELA,960,3,2880.0,1169.28,1842.2,03118-001,BAIXA,Plástico,1.5,90.0,1026.94,35.0
01-01-2020,09:15,EDÍFICIO PAULICEIA E SÃO CARLOS DO PINHAL,240,3,720.0,292.32,268.29,01310-300,ALTA,Papel,0.7,80.0,306.2,30.0
01-01-2020,10:00,VARANDA BOTANIC,138,3,414.0,168.084,145.66,05543-060,ALTA,Vidro,0.5,70.0,228.6,25.0
01-01-2020,08:00,CONDOMÍNIO RESIDENCIAL GOLF PARK,144,3,432.0,175.392,244.28,04038-001,BAIXA,Plástico,0.9,85.0,308.4,30.0
01-01-2020,11:30,CONDOMÍNIO PATEO ANDALUZ,199,3,597.0,242.382,227.22,04054-011,ALTA,Papelão,0.8,80.0,323.21,35.0
01-01-2020,14:45,CONDOMÍNIO RESIDENCIAL FLAMBOYANT,216,3,648.0,263.088,225.76,06038-310,ALTA,Plástico,1.2,90.0,359.81,40.0
01-01-2020,09:00,INNOVA III & IV,282,3,621.0,251.537,346.89,04211-320,BAIXA,Orgânico,0.7,60.0,269.93,30.0
01-01-2020,12:00,MAGNUM RESIDENCIAL,584,3,1752.0,711.312,777.74,05085-010,ALTA,Papel,0.8,80.0,328.72,30.0
01-01-2020,09:45,EDIFÍCIO LINA JARDINS,30,3,90.0,36.54,57.21,01415-001,BAIXA,Vidro,0.2,60.0,170.83,20.0
01-01-2020,13:00,CONDOMÍNIO RESIDENCIAL ARICANDUVA,520,3,1560.0,633.36,1088.91,03978-160,BAIXA,Plástico,1.0,85.0,627.19,35.0
01-01-2020,14:30,HELLO VILA MARIANA,196,3,588.0,238.728,248.4,04101-000,BAIXA,Orgânico,0.6,70.0,246.63,25.0
01-01-2020,08:30,RESIDENCIAL TIETÊ,228,3,684.0,277.704,450.89,03026-000,BAIXA,Papel,0.7,75.0,306.38,30.0
01-01-2020,09:15,EASY CIDADE UNIVERSITÁRIA,330,3,990.0,401.94,451.27,05366-000,ALTA,Vidro,0.9,85.0,393.79,35.0
01-01-2020,10:00,NURBAN PINHEIROS,103,3,309.0,125.454,117.73,05423-010,ALTA,Vidro,0.5,70.0,226.06,25.0
01-01-2020,11:45,UPPER SÃO CAETANO,124,3,372.0,151.032,157.67,09530-001,ALTA,Papel,0.4,75.0,219.1,20.0
